ID,label
1,7
2,4
3,5
4,1
5,8
6,1
7,5
8,8
9,7
10,4
11,2
12,1
13,9
14,5
15,4
16,9
17,2
18,2
19,3
20,3
21,6
22,9
23,7
24,6
25,3
26,0
27,6
28,9
29,1
30,6
31,5
32,8
33,1
34,6
35,4
36,9
37,2
38,0
39,1
40,5
41,2
42,8
43,5
44,2
45,2
46,4
47,8
48,5
49,5
50,6
51,8
52,4
53,3
54,5
55,6
56,1
57,1
58,0
59,5
60,2
61,9
62,0
63,7
64,0
65,0
66,9
67,4
68,7
69,0
70,6
71,4
72,7
73,0
74,0
75,2
76,0
77,3
78,9
79,3
80,9
81,6
82,4
83,8
84,3
85,7
86,4
87,6
88,1
89,2
90,6
91,8
92,3
93,3
94,7
95,9
96,9
97,4
98,5
99,8
100,6
101,4
102,8
103,1
104,6
105,3
106,2
107,1
108,3
109,0
110,6
111,3
112,0
113,1
114,1
115,9
116,1
117,0
118,6
119,9
120,5
121,3
122,4
123,0
124,5
125,0
126,5
127,4
128,2
129,6
130,1
131,6
132,1
133,5
134,5
135,0
136,3
137,4
138,6
139,3
140,3
141,1
142,2
143,7
144,7
145,9
146,6
147,1
148,1
149,7
150,7
151,7
152,6
153,0
154,1
155,2
156,6
157,1
158,7
159,1
160,1
161,4
162,6
163,8
164,7
165,1
166,8
167,1
168,5
169,6
170,5
171,8
172,8
173,2
174,1
175,4
176,6
177,6
178,0
179,9
180,4
181,9
182,4
183,1
184,7
185,1
186,1
187,5
188,9
189,9
190,5
191,7
192,2
193,8
194,1
195,5
196,9
197,3
198,6
199,6
200,0
201,6
202,3
203,4
204,4
205,9
206,9
207,6
208,4
209,3
210,9
211,2
212,4
213,8
214,8
215,6
216,2
217,3
218,7
219,5
220,1
221,4
222,0
223,1
224,4
225,0
226,6
227,8
228,7
229,1
230,3
231,1
232,0
233,5
234,3
235,2
236,1
237,7
238,4
239,0
240,9
241,2
242,8
243,6
244,6
245,5
246,7
247,9
248,0
249,2
250,3
251,6
252,4
253,2
254,3
255,8
256,2
257,2
258,0
259,8
260,4
261,7
262,8
263,9
264,2
265,5
266,2
267,2
268,3
269,6
270,7
271,3
272,4
273,3
274,8
275,2
276,3
277,1
278,2
279,2
280,5
281,7
282,2
283,7
284,7
285,7
286,0
287,9
288,2
289,7
290,0
291,3
292,7
293,9
294,5
295,3
296,2
297,7
298,7
299,7
300,2
301,8
302,5
303,1
304,8
305,9
306,9
307,1
308,3
309,0
310,8
311,7
312,6
313,9
314,0
315,2
316,8
317,1
318,4
319,8
320,9
321,8
322,3
323,9
324,7
325,5
326,1
327,6
328,9
329,0
330,2
331,1
332,0
333,0
334,7
335,3
336,2
337,5
338,9
339,7
340,6
341,5
342,4
343,8
344,3
345,8
346,2
347,1
348,8
349,6
350,9
351,7
352,5
353,5
354,5
355,0
356,3
357,1
358,1
359,2
360,7
361,3
362,1
363,5
364,6
365,1
366,4
367,4
368,7
369,9
370,0
371,9
372,6
373,2
374,5
375,4
376,7
377,2
378,0
379,3
380,9
381,9
382,0
383,2
384,6
385,0
386,7
387,6
388,0
389,7
390,0
391,5
392,2
393,5
394,9
395,1
396,1
397,2
398,8
399,0
400,8
401,1
402,8
403,1
404,1
405,6
406,7
407,7
408,2
409,2
410,7
411,1
412,7
413,4
414,4
415,4
416,5
417,5
418,8
419,8
420,5
421,1
422,0
423,4
424,3
425,0
426,4
427,4
428,6
429,1
430,1
431,1
432,5
433,9
434,4
435,0
436,6
437,9
438,3
439,1
440,1
441,3
442,0
443,4
444,0
445,6
446,1
447,3
448,4
449,8
450,7
451,0
452,1
453,4
454,0
455,6
456,4
457,1
458,2
459,1
460,2
461,5
462,5
463,3
464,6
465,6
466,3
467,8
468,0
469,6
470,0
471,6
472,5
473,0
474,0
475,5
476,5
477,4
478,9
479,2
480,2
481,9
482,0
483,3
484,4
485,7
486,2
487,9
488,6
489,9
490,7
491,9
492,6
493,5
494,6
495,2
496,6
497,7
498,0
499,8
500,5
501,7
502,6
503,1
504,4
505,8
506,0
507,0
508,7
509,1
510,4
511,2
512,6
513,5
514,4
515,7
516,1
517,5
518,6
519,1
520,1
521,9
522,3
523,2
524,6
525,3
526,1
527,1
528,2
529,4
530,1
531,3
532,5
533,1
534,4
535,6
536,3
537,1
538,4
539,4
540,5
541,4
542,8
543,4
544,3
545,1
546,1
547,9
548,0
549,6
550,9
551,5
552,6
553,0
554,5
555,3
556,2
557,6
558,0
559,0
560,0
561,5
562,2
563,6
564,0
565,7
566,0
567,4
568,6
569,7
570,9
571,0
572,4
573,8
574,7
575,4
576,5
577,3
578,5
579,6
580,6
581,6
582,6
583,1
584,1
585,1
586,2
587,5
588,9
589,6
590,7
591,1
592,2
593,6
594,2
595,8
596,4
597,7
598,1
599,8
600,7
601,0
602,0
603,8
604,3
605,8
606,7
607,3
608,4
609,9
610,7
611,2
612,7
613,2
614,6
615,9
616,0
617,9
618,7
619,8
620,5
621,8
622,0
623,3
624,6
625,6
626,0
627,1
628,3
629,9
630,5
631,4
632,5
633,2
634,0
635,6
636,0
637,5
638,9
639,3
640,0
641,0
642,0
643,4
644,7
645,4
646,9
647,8
648,6
649,2
650,9
651,0
652,7
653,3
654,1
655,6
656,4
657,0
658,1
659,9
660,6
661,0
662,5
663,5
664,4
665,0
666,5
667,1
668,1
669,1
670,7
671,1
672,3
673,5
674,1
675,4
